started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-01-08 12:30:33.829000+00:00,2021-01-08 12:57:06.938000+00:00,1593,431,Chr. Michelsens Gate,ved Fjellgata,59.927292,10.773185,385,Søndre gate,ved Ankerbrua,59.918632,10.757867
2021-01-08 12:31:06.122000+00:00,2021-01-08 12:33:22.044000+00:00,135,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372,577,Arkaden Nord,langs Dronningens gate,59.9121472,10.7480527
2021-01-08 12:31:32.261000+00:00,2021-01-08 12:45:31.525000+00:00,839,439,Mølleparken,ved Sannerbrua,59.9283928,10.7559693,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728
2021-01-08 12:31:43.741000+00:00,2021-01-08 12:37:04.762000+00:00,321,587,Riddervoldplass,ved Camilla Colletts vei,59.9191421,10.7196414,526,Lille Grensen,Ved Akersgata,59.9138973,10.7423101
2021-01-08 12:31:58.112000+00:00,2021-01-08 12:39:49.070000+00:00,470,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372,463,Schous plass trikkestopp,ved biblioteket,59.9207284,10.7594857
2021-01-08 12:33:37.556000+00:00,2021-01-08 12:46:42.847000+00:00,785,416,Tannlegehøyskolen,langs Geitmyrsveien,59.932383,10.741475,599,Paléhaven,langs Strandgata,59.910331,10.75011
2021-01-08 12:33:48.438000+00:00,2021-01-08 12:40:39.381000+00:00,410,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,970,Enerhaugen,ved Sørligata,59.91320242563816,10.767579386407874
2021-01-08 12:34:38.647000+00:00,2021-01-08 12:44:23.665000+00:00,585,429,Thune,ved bomringen,59.92208,10.68588,590,Majorstua skole,langs Bogstadveien,59.9294351,10.7136816
2021-01-08 12:35:30.588000+00:00,2021-01-08 12:42:12.591000+00:00,402,408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977,437,Sentrum Scene,ved Arbeidersamfunnets plass,59.91546786564256,10.751140873016311
2021-01-08 12:35:32.224000+00:00,2021-01-08 12:45:02.149000+00:00,569,615,Munkedamsveien,ved Haakon VIIs gate,59.9135227,10.7301061,444,AHO,langs Maridalsveien,59.925265,10.750462
2021-01-08 12:37:43.071000+00:00,2021-01-08 12:44:36.436000+00:00,413,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541
2021-01-08 12:38:36.076000+00:00,2021-01-08 12:48:32.209000+00:00,596,433,Ila,langs Uelandsgt ved Colletts,59.931828,10.748745,458,Jenny Braatens Plass,langs Rosenhoffgata,59.928349,10.77837
2021-01-08 12:38:52.374000+00:00,2021-01-08 12:48:34.633000+00:00,582,734,Nylandsveien,ved Urtegata,59.9156603,10.7622812,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455
2021-01-08 12:39:37.989000+00:00,2021-01-08 12:51:53.923000+00:00,735,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133
2021-01-08 12:39:55.025000+00:00,2021-01-08 12:43:20.243000+00:00,205,502,Ullevål sykehus,langs Kirkeveien,59.9360307,10.7364516,382,Stensgata,ved trikkestoppet,59.92958561753996,10.732839000000013
2021-01-08 12:40:21.304000+00:00,2021-01-08 12:52:21.820000+00:00,720,548,Colbjørnsens gate,ved Skovveien,59.91731888534716,10.716909039918278,387,Studenterlunden,langs Karl Johan,59.914586,10.735453
